54	1	6775392
30	18	6775392
1	37	6775392
5	29	6775392
54	6	6775392
34	63	6775392
10	29	6775392
34	1	6775392
10	53	6775392
26	1	6775392
63	52	6775392
19	58	6775392
54	47	6775392
54	44	6775392
47	52	6775392
54	52	6775392
21	34	6775392
39	24	6775392
34	29	6775392
30	29	6775392
54	54	6775392
1	23	6775392
63	46	6775392
54	26	6775392
34	9	6775392
29	42	6775392
54	21	6775392
26	35	6775392
58	32	6775392
34	14	6775392
43	29	6775392
21	29	6775392
21	9	6775392
21	1	6775392
54	37	6775392
21	15	6775392
54	63	6775392
34	18	6775392
54	37	6775392
21	63	6775392
63	30	6775392
63	29	6775392
21	53	6775392
1	4	6775392
30	58	6775392
54	14	6775392
54	54	6775392
1	30	6775392
1	43	6775392
1	53	6775392
10	44	6775392
51	19	6775392
54	59	6775392
5	26	6775392
54	1	6775392
53	15	6775392
34	9	6775392
21	56	6775392
54	50	6775392
1	10	6775392
26	29	6775392
1	15	6775392
43	47	6775392
1	25	6775392
48	2	6775392
1	43	6775392
47	47	6775392
1	39	6775392
54	26	6775392
54	59	6775392
54	47	6775392
26	26	6775392
30	59	6775392
34	26	6775392
25	29	6775392
5	11	6775392
54	48	6775392
60	9	6775392
59	29	6775392
54	47	6775392
21	26	6775392
54	10	6775392
54	1	6775392
34	48	6775392
26	26	6775392
12	47	6775392
54	21	6775392
54	1	6775392
26	19	6775392
54	21	6775392
1	31	6775392
1	44	6775392
37	32	6775392
63	32	6775392
54	53	6775392
59	57	6775392
48	44	6775392
21	1	6775392
54	9	6775392
54	1	6775392
26	26	6775392
34	63	6775392
54	54	6775392
59	47	6775392
1	13	6775392
21	32	6775392
9	31	6775392
26	29	6775392
43	48	6775392
54	33	6775392
34	10	6775392
54	9	6775392
30	4	6775392
1	58	6775392
21	37	6775392
21	15	6775392
26	26	6775392
34	1	6775392
54	26	6775392
54	5	6775392
26	63	6775392
30	37	6775392
10	29	6775392
33	47	6775392
21	4	6775392
1	57	6775392
54	14	6775392
21	37	6775392
12	37	6775392
54	4	6775392
30	10	6775392
54	44	6775392
26	26	6775392
54	1	6775392
10	23	6775392
54	1	6775392
54	10	6775392
1	10	6775392
47	58	6775392
54	34	6775392
12	41	6775392
59	47	6775392
54	54	6775392
54	34	6775392
10	32	6775392
19	10	6775392
54	26	6775392
54	16	6775392
54	44	6775392
12	10	6775392
54	30	6775392
43	20	6775392
21	34	6775392
1	32	6775392
54	21	6775392
53	23	6775392
12	58	6775392
54	54	6775392
26	50	6775392
34	1	6775392
5	29	6775392
53	58	6775392
34	10	6775392
54	54	6775392
26	59	6775392
59	43	6775392
59	53	6775392
26	1	6775392
54	54	6775392
53	15	6775392
13	32	6775392
34	8	6775392
54	34	6775392
21	10	6775392
34	42	6775392
21	12	6775392
54	21	6775392
34	26	6775392
10	11	6775392
54	26	6775392
59	29	6775392
21	12	6775392
26	9	6775392
54	43	6775392
34	55	6775392
54	54	6775392
54	4	6775392
21	32	6775392
54	12	6775392
14	48	6775392
34	26	6775392
54	41	6775392
34	63	6775392
47	29	6775392
54	20	6775392
59	29	6775392
34	12	6775392
10	32	6775392
30	29	6775392
10	58	6775392
9	17	6775392
21	26	6775392
54	9	6775392
54	25	6775392
63	59	6775392
54	26	6775392
21	10	6775392
47	58	6775392
54	42	6775392
29	29	6775392
54	26	6775392
21	37	6775392
29	2	6775392
7	23	6775392
54	53	6775392
54	10	6775392
1	47	6775392
26	47	6775392
29	29	6775392
21	34	6775392
10	37	6775392
21	1	6775392
9	32	6775392
1	52	6775392
54	58	6775392
54	10	6775392
54	34	6775392
34	24	6775392
58	48	6775392
54	23	6775392
26	44	6775392
54	44	6775392
44	32	6775392
33	48	6775392
63	19	6775392
54	47	6775392
34	26	6775392
59	10	6775392
54	9	6775392
34	1	6775392
59	29	6775392
4	22	6775392
1	10	6775392
54	7	6775392
12	32	6775392
34	26	6775392
21	14	6775392
48	22	6775392
63	43	6775392
1	58	6775392
54	1	6775392
35	48	6775392
34	10	6775392
54	1	6775392
26	1	6775392
1	53	6775392
