304	551
996	411
302	633
986	986
75	769
574	139
399	241
337	996
833	724
662	595
958	817
550	723
662	884
337	40
709	847
781	679
502	694
79	303
692	372
127	954
867	674
568	64
502	25
986	848
910	475
176	594
838	748
889	699
331	934
330	133
25	64
303	85
534	322
75	742
831	399
709	817
435	806
667	415
190	659
708	139
502	874
322	969
172	195
127	234
381	415
417	470
127	70
337	124
75	596
85	280
502	1011
337	848
502	667
337	14
397	385
127	770
337	1015
652	862
996	918
502	457
356	147
127	105
781	817
986	817
838	649
642	649
986	382
337	234
176	1022
978	889
261	884
662	75
692	937
477	573
1011	997
502	105
770	847
988	766
838	224
931	502
25	14
817	565
244	867
337	241
331	139
867	167
360	991
40	25
337	616
302	190
415	705
25	42
159	512
662	453
436	340
1015	649
302	817
667	723
356	14
286	421
931	529
448	932
595	326
1006	694
286	551
579	689
127	14
986	497
838	667
75	415
502	291
892	451
337	21
261	848
502	991
662	529
867	415
390	563
417	559
337	40
190	457
579	89
309	694
337	634
231	766
25	296
127	847
609	382
337	502
261	609
974	694
337	709
244	190
337	988
75	497
662	268
70	708
253	619
482	415
574	770
988	820
176	937
127	127
662	781
337	529
231	363
512	294
493	955
989	591
127	181
159	40
781	979
261	795
313	874
631	529
20	470
337	759
1016	862
337	363
709	1011
473	879
745	867
931	751
190	25
770	448
746	1011
246	928
709	555
253	529
303	862
500	385
234	103
502	867
354	470
958	769
882	529
643	844
7	363
944	14
20	991
529	205
709	564
752	85
709	986
25	723
190	652
337	1015
190	464
190	105
337	30
216	994
176	705
261	529
435	643
452	518
694	937
708	529
337	7
337	313
879	166
127	518
540	944
781	997
127	303
986	591
75	303
878	795
709	576
159	694
623	334
550	219
986	25
65	529
75	421
662	994
75	667
337	127
555	356
595	190
127	502
337	392
326	147
75	1
986	44
662	190
618	591
502	669
595	987
574	933
337	780
337	473
817	1
709	420
326	117
10	910
303	161
337	622
127	709
502	567
667	746
192	862
709	937
996	652
261	817
667	279
75	421
127	694
159	7
475	582
937	392
996	652
337	190
670	241
337	413
75	568
692	766
75	46
337	892
667	937
337	502
85	529
117	992
472	889
127	75
662	555
770	817
299	373
337	477
986	817
550	289
261	879
709	150
817	793
172	97
988	735
190	700
417	667
302	381
337	662
337	555
817	208
662	529
595	694
127	25
931	564
337	631
709	170
25	85
662	165
337	16
163	457
709	349
817	340
822	46
450	16
609	550
279	848
595	280
606	879
132	550
70	65
709	904
65	788
662	987
337	662
337	337
448	49
159	518
879	437
117	345
127	752
190	147
308	1018
969	884
482	910
337	372
667	751
159	484
190	735
574	709
534	467
996	124
529	84
903	46
308	633
986	340
662	888
988	457
273	625
709	735
439	991
302	944
497	352
337	337
326	96
973	475
781	14
766	421
286	286
170	6
996	75
726	457
126	601
574	931
662	662
159	261
85	769
529	694
127	545
266	937
269	221
304	397
25	463
337	463
246	991
860	937
320	447
931	770
1011	933
253	415
817	849
1011	158
261	699
337	1011
337	666
75	810
14	298
4	878
964	241
337	303
502	194
246	447
502	190
555	280
692	991
159	127
176	244
634	532
692	735
337	633
942	766
302	289
47	46
808	817
574	694
954	166
337	781
662	595
534	435
166	215
159	496
75	75
564	358
356	590
337	25
726	186
867	356
159	255
595	1016
303	536
709	25
545	817
996	44
286	470
75	609
304	817
244	496
766	889
629	358
272	532
337	931
543	674
399	292
709	529
14	633
550	5
860	752
415	879
550	303
996	766
817	848
823	555
190	529
337	609
502	1018
735	874
25	44
75	477
313	363
341	405
25	621
502	667
500	937
555	380
337	170
159	370
641	286
692	752
337	555
303	706
159	283
502	502
190	421
988	70
127	770
454	950
159	302
937	950
337	75
672	373
303	879
502	862
709	817
709	98
931	694
261	820
662	449
726	969
337	996
780	862
337	910
127	313
127	244
502	190
502	428
709	122
838	622
817	344
127	735
529	385
159	326
302	550
283	287
817	448
337	457
502	591
